"header__resultCode","header__resultMsg","body__items__item__createDt","body__items__item__deathCnt","body__items__item__defCnt","body__items__item__gubun","body__items__item__gubunCn","body__items__item__gubunEn","body__items__item__incDec","body__items__item__isolClearCnt","body__items__item__isolIngCnt","body__items__item__localOccCnt","body__items__item__overFlowCnt","body__items__item__qurRate","body__items__item__seq","body__items__item__stdDay","body__items__item__updateDt","body__numOfRows","body__pageNo","body__totalCount"
"","","2021-11-23 08:57:17.927","178","15463","부산","釜山","Busan","56","14340","945","56","0","456","13445","2021년 11월 23일 00시","null","","",""
"","","2021-11-23 08:57:17.927","973","142913","서울","首尔","Seoul","1165","123948","17992","1160","5","1478","13444","2021년 11월 23일 00시","null","","",""
"","","2021-11-23 08:57:17.927","3328","420950","합계","合计","Total","2699","378561","39061","2685","14","812","13443","2021년 11월 23일 00시","null","","",""
"","","2021-11-22 09:03:29.196","16","6406","검역","隔離區","Lazaretto","7","6244","146","0","7","-","13442","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.195","9","3464","제주","济州","Jeju","17","3231","224","17","0","513","13441","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.195","48","14367","경남","庆南","Gyeongsangnam-do","65","13484","835","63","2","430","13440","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.195","100","10604","경북","庆北","Gyeongsangbuk-do","39","10078","426","39","0","402","13439","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.195","25","4142","전남","全南","Jeollanam-do","27","3745","372","25","2","224","13438","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.194","70","5981","전북","全北","Jeollabuk-do","34","5450","461","34","0","332","13437","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.194","75","12032","충남","忠南","Chungcheongnam-do","47","11180","777","47","0","567","13436","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.194","89","8565","충북","忠北","Chungcheongbuk-do","26","8216","260","26","0","535","13435","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.193","70","8073","강원","江原","Gangwon-do","55","7443","560","55","0","523","13434","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.193","1082","125278","경기","京畿","Gyeonggi-do","820","112624","11572","817","3","933","13433","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.193","2","1457","세종","世宗","Sejong","5","1393","62","5","0","409","13432","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.193","57","5580","울산","蔚山","Ulsan","10","5450","73","10","0","491","13431","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.192","56","8165","대전","大田","Daejeon","36","7712","397","36","0","558","13430","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.192","30","5918","광주","光州","Gwangju","57","5539","349","57","0","408","13429","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.192","129","22767","인천","仁川","Incheon","161","20327","2311","159","2","774","13428","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.192","302","18298","대구","大邱","Daegu","53","17370","626","53","0","757","13427","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.191","178","15407","부산","釜山","Busan","90","14289","940","89","1","454","13426","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.191","960","141748","서울","首尔","Seoul","1278","122931","17857","1274","4","1466","13425","2021년 11월 22일 00시","null","","",""
"","","2021-11-22 09:03:29.191","3298","418252","합계","合计","Total","2827","376706","38248","2806","21","807","13424","2021년 11월 22일 00시","null","","",""
